file_name,transcription
data/baraa_5min_part0001.mp3,غدوا يوم فرح اختها النهار لي ستناتو بزاف غدوا
data/baraa_5min_part0002.mp3,تودع اخر فرد بقالها من العائلة بعد موت والديها بأكسيدون
data/baraa_5min_part0003.mp3,قبل ربعة سنين مشاعرها مخلطة مابين الفرحة لسعادة اختها وزواجها
data/baraa_5min_part0004.mp3,من الراجل لي حبها وحباتو وحزن لفراق اعز الناس ليها كان
data/baraa_5min_part0005.mp3,ت ليها الاخت والام والصديقة وكلشي مي دوام الحا
data/baraa_5min_part0006.mp3,ل من المحال ومبعد بدأت تفكر وتتخيل كون جات
data/baraa_5min_part0007.mp3,هيا العروسة في بلاصت ختها وتتزوج بمحمد حبيبها
data/baraa_5min_part0008.mp3,وبقات تتفكر فيه ضحكتو كلامو مشيتو وتضحك كي المهب
data/baraa_5min_part0009.mp3,ولة وفجأة يجيها ميساج يقطعلها الاحلام الوردية فتحت هاتفها
data/baraa_5min_part0010.mp3,وياليتها مافتحاتو ميليس عمري عمبالي حتكرهيني بزاف مي واش نديرو
data/baraa_5min_part0011.mp3,كل حكاية عندها نهاية وحكايتنا نهايتها اليوم ميش بيدي لازم
data/baraa_5min_part0012.mp3,علينا نتفارقو مكيش حتفهميني لوكان نشرحلك الظرف لي خلاني
data/baraa_5min_part0013.mp3,نقولك هاذ الكلام مي اليوم مستحيل نكملو  لازم نتفارقو حبي
data/baraa_5min_part0014.mp3,تك صح من قلبي محمد ضحكت بالصوت محمد امبوسيبل يديرها لال
data/baraa_5min_part0015.mp3,ا راني نحلم موحال غلقت عينيها وعاودت فتحتهم عشرة مرات
data/baraa_5min_part0016.mp3,مي والو هاذا الواقع ولازم تتقبلو  ولات تضحك بطريقة هيس
data/baraa_5min_part0017.mp3,تيرية ومبعد قلبتها بكاء يديها يرجفو سيات تعطيلو
data/baraa_5min_part0018.mp3,مي  لا لحياة لمن تنادي كامل لي تحبهم يروحو ويخلوها
data/baraa_5min_part0019.mp3,ولات تبكي وتقول يما يما بنتك معندهاش الزهر يما
data/baraa_5min_part0020.mp3,جرح فراقكم مزال مابردش زادلي جرح ثاني يما
data/baraa_5min_part0021.mp3,هذا هو لي حبيتو ووثقت فيه يما علاه خليتيني اديني
data/baraa_5min_part0022.mp3,معاك بقات جامدة ليل كامل ساعة تبكي وساعة تضحك على زهر
data/baraa_5min_part0023.mp3,ها جا الصباح  وهي ما شافتش النوم مسحت
data/baraa_5min_part0024.mp3,دمعتها لازم تخبي حزنها علاجال اختها مالازمش تبين ضعفها
data/baraa_5min_part0025.mp3,علأقل ليوم تمشي هايمة  جثة بلا روح  لازم تبين روحها
data/baraa_5min_part0026.mp3,فرحانة لازم الوووغ هاذي
data/baraa_5min_part0027.mp3,اول كخونيك ليا نتمنى نلقى الدعم بيسك راهي شوي طويلة حبكوم
data/baraa_5min_part0028.mp3,ميليس طفلة شابة سيفيليزي  قلبها بزاف بيض حنينة
data/baraa_5min_part0029.mp3,مي معندهاش الزهر  في عمرها ثمنطاش عام ربحت الباك وبعد مايكمال الصيف
data/baraa_5min_part0030.mp3,تروح تقرى فلجامعة مدرسة عليا ادب عربي محمد شباب
data/baraa_5min_part0031.mp3,مي خلاط زطايلي وسوكارجي في عمرو ربعة و عشرين سنة عندو سوبيرات يخدم في
data/baraa_5min_part0032.mp3,ها فوق قلبو تاع باباه
data/manel_part02_part11.mp3,معندناش نجيب سي موح طكسيور نديك لسبيطار ووهي لالا متعيطلوش لي خدمناهم نعطوهملو  ورمضان قرب خلي خلي راني موالفة يوم يومين نبرا
data/manel_part02_part12.mp3,تعمرو عينيا بالدمعة و شفت شعال والديا راهم يخمو علينا على حساب صحتهم  دخلو الشمبرتهم وانا رحت نشوف في بلاصة التقياء حشاكم
data/manel_part02_part13.mp3,واش بيها
data/manel_part03_part00.mp3,قلتلكم شفت يما تتقيأ هاكك وتبان مضرورة كي رحت لبلاصتها صبتها معمرة دم الدنيا دارت بيا
data/manel_part03_part01.mp3,خفت خفت من هذيك الضلمة وبديت نتخيل فالموت عندنا  رجعت نجري لفراشي و حکمت رکابیا بیدیا ودخلت راسي في كرشي
data/manel_part03_part02.mp3,وحكمتني الرعشة  فهذيك اللحظة مجانيش البكا جاني شعور وحدو شعور جامي حسيت بيه بت لي
data/manel_part03_part03.mp3,لة كاملة حالة عينيا و نقرا فالمستقبل مرقدتش حتى للفجر نضت توضيت وصليت ودعيت ربي باه ميكونش لي في بالي صحيح
data/manel_part03_part04.mp3,ناضت يما من موريا مسكينة رحت للكوزينة لحقتها هي مربعة كرعيها تخبز لنا فالخبيز باسكو كنا نبغوه بالقهوة و
data/manel_part03_part05.mp3,كانت الحاجة الوحيدة لي المكونات تاعها رخيسة و بنينة مريضة و مكانتش مخليتنا نروحو هاكك  هي تخبز وانا نتأمل فيها و نتأمل ف
data/manel_part03_part06.mp3,التفاصيل تاع وجها وحتى صباعتين تاع رجليها وغست فيها وسرحت حتى قاتلي ها نوضي روحي نوضي خاوتك راح عليهم الحال نوضي
data/manel_part03_part07.mp3,نضت نوض فيهم بلعقل وحالي مهوش عندي كامل وبقيت نشوف فيهم راقدين مساكن و غايضيني
data/manel_part03_part08.mp3,وجاني وحد الشعور تاع رايحة نعاني من للقدام  لبست وجيت رايحة بلا قهوة قاتلي يما رواحي تستقهواي قتلها لالا م
data/manel_part03_part09.mp3,نيش قادرة قاتلي لالا ستقهاوي باه متجيش من بعد  قتلها علاه  قاتلي الفطور ميكفيناش حنونتي باغية نسخن لخواتك هذاك العدس تاع البارح
data/manel_part04_part00.mp3,قاتلي روحي عند خالتك نعيمة فطري عندها انتي راكي بعيدة و نورمال كي تروحي عندها  مسكينة كنت متفهمة الوضع وكان علبالي
data/manel_part04_part01.mp3,بكلش بصح في قلبي بغيت نقلها ني باغية نجي نشوفك معليش مانكلش كي نشوفك نشبع المهم خزرت فيها وقتلها في روحي عندي
data/manel_part04_part02.mp3,قراية نقعد نقرا مع صحباتي رحت لهذاك السيام و عقلي كامل مهوش عندي وكي دخلت للكلاصة بقيت نشوف فالاستاذة
data/manel_part04_part03.mp3,الاستاذة لي كانت تخليني انا الحل الاخير كي يعجزو لخرين باه يحلو کاش مسألة ولا يحصلو  المهم لاحظت بلي منيش في حالي وهذاك نهار مرف
data/manel_part04_part04.mp3,عتش صبعي اطلاقا في نهاية الحصة جينا خارجين قاتلي الاستاذة متخرجيش فريدة محتجاتك كي جات قاتلي واش بيك ليو
data/manel_part04_part05.mp3,وم هي مكملتش وانا بديت نبكي  قاتلي مالكي مالكي شاكين  تقريب خمس دقایق باه قدرت نحكي غلبتني الدمعة  حكيتلها كلش
data/manel_part04_part06.mp3,قاتلي ليوم العشية ستنايني نروح معاك اوكي  قتلها لالا لالا يما متبغيش  باسكو يما معلمتنا قتلنا بالكم تمدو يديكيم
data/manel_part04_part07.mp3,بالكم دايمن توصي و تعاود قاتلي خليها عليا المهم ستنايني العشية على 3 نجي نخرجك من الكلاصة ونروحو لداركم قع
data/manel_part04_part08.mp3,دت بلا فطور هذاك نهار والعشية جات الاستاذة داتني
data/manel_part05_part00.mp3,كي وصلنا صبت بما تقتل في وحد الشكارة تاع طعام خليت الاستاذة فالحوش برا تستنا  قاتلي يما جيتي بكري قتلها ايه جيت مع اس
data/manel_part05_part01.mp3,تاذتي نخلعت ناضت تجري  شفتو وحد كي ميكونش قاري و كيفاش يشوف وحد قاري  ناضت تجري خرجت ليها و بدات تقول للا
data/manel_part05_part02.mp3,ستاذة سمحيلي ابنتي خلاتك تستناي برا دخلي دخلي  دخلت الاستاذة وبقات تشوف فالدار دخلنها لشومبرتنا وين نرقدو انا وخاو
data/manel_part05_part03.mp3,تي راحت يما طيب فالقهوة  قاتلي روحي قولي ليماك جيبه كحل  كانت عارفة بلي مكان والو عندنا مبغاتش تكلفنا و في نفس الوقت بغات تدي
data/manel_part05_part04.mp3,الفرصة باه تشوف درانا وتزيد تتعرف علينا كثر  المهم قعدت تشرب فالقهوة قاتلي يما  فريدة بصح علاه مقل
data/manel_part05_part05.mp3,تيليش  بلي راكي جاية مع شيختك  نطقت الاستاذة قاتلها لا لا ا خالتي حتى هي ومكانتش عارفة قاتلها جيتك في وحد الموضوع كيما تعرفي
data/manel_part05_part06.mp3,ربي راه كارمنا من فضلو و مخصنا والو وكل اسبوع رانا نلمو شي لي كتبو ربي ونزورو عايلة من العائلات تاع تلاميذ المتفوقين
data/manel_part05_part07.mp3,و نهدوهم هذاك المكتوب و من القوانين لي نتمشاو ببهم هوما انا نسلمو الجائزة للوالدين تاعهم وبنتك الحمد لله راهي لولا فالكلاصة
data/manel_part05_part08.mp3,و الهدية كانت من ناصيبها وبغيت نقلك يا خالتي راهي عندك طفلة مشاء الله وهنيئا لكم عليها ماتت يما بالفرحة
data/manel_part05_part09.mp3,ا و انا كي شفتها هكاك فرحت بصح كي تفكرت عاودت ياست
data/manel_part06_part00.mp3,المهم كي جات خارجة مدتلها وحد المبلغ في قطعة تاع قماش لي حد الان والله ما عرفتو شعال  المهم وصلتها لاري تاعنا
data/manel_part06_part01.mp3,قتلها يا استاذة بصح هذوك دراهم لي عطيتهملها والله ما تروح بيهم لطبيب قتلها ضروك تشريهملنا ماكلة قاتلي هذا الموضوع خليه علي
data/manel_part06_part02.mp3,يا متخميش  رجعت انا لدار قاتلي يما هذي الجائزة صح كاين منها كي شغل فاقت وحد الشوية بصح قنعتها  سقسيتها على الشك
data/manel_part06_part03.mp3,كارة تاع طعام قتلها تاعمن هذي قاتلي الفلانية جبتهالي قاتلي فتليهالي و نخلصك هذيك لحظة كرهت ضعفي و كرهت عجز
data/manel_part06_part04.mp3,زي ما صبتش قاع شا ندير و حسيت روحي مكتفة كيفاش يما مريضة وتخدم و انا نشوف فيها تذوب نهار بعد نهار  غدوا من ذاك
data/manel_part06_part05.mp3,رحت معمرة لسیام و قبل ما ندخلو رحت لقاعة الاساتذة نحوس على الاستاذة باه نقلها لازم متتخلاش عليا
data/manel_part07_manel_part-38.mp3,قالك خطرة واحد لقى لفعى فوقها حجرة غاضتو سلكها كي سلكها قاتلو راني حالفة ألي يسلكني نلدغو
data/manel_part07_manel_part_39.mp3,قالها أنعلي بليس كيفاش أنا سلكتك ونتي تحوسي  تلدغيني قاتلو نلدغك نلدغك قاللها خلاص نسقسو ثلاثة حيوانات
data/manel_part07_manel_part_40.mp3,نلقاوهم في طريقنا اذا عطاوك الحق ألدغيني أيا تمشاو لقاو البقرة حكاولها
data/manel_part07_manel_part_41.mp3,قاتلها الإنسان قد مانعطولوا الحليب ينكر الخير وفي الأخير يذبحني ألدغيه
data/manel_part07_manel_part_42.mp3,زادو تمشاو لقاو الحمار سقساوه قالهم الإنسان قد مانخدموا ونرفدلوا قشوا يقسى عليا ويضربني ألدغيه
data/manel_part07_manel_part_43.mp3,زادو تمشاو لقاو حبيبنا الذيب حكاولوا قالهم أنا منأمنش حتى تعاودو تمثلولي المشهد من أول وجديد
data/manel_part07_manel_part_44.mp3,أيا تكسلت اللفعة وعاود حط عليها الحجرة قالوا هكدا لقيتها قالوا خليها كيما لقيتها باش تعرف قيمتها نكارة الخير
data/manel_part07_manel_part_45.mp3,المهم  تحيا الذيابة فالغيبية وين ما كانو والحديث قياس
data/manel_part07_manel_part_46.mp3,كامل علابالنا بلي الرسول صلى الله عليه وسلم كان سيد الأخلاق مع كامل الناس
data/manel_part07_manel_part_47.mp3,الخدم لي كانوا يخدمو في المدينة كانوا يبغوه بزااف و شكون ميبغيش نبي الله  و اغلب الخدم كانو يتامى
data/manel_part07_manel_part_49.mp3,اياً مين كان رسول الله صلى الله عليه وسلم يخرج يصلي الفجر كامل خدم المدينة يقارعولها عند الجامع رافدين الماء
data/manel_part07_manel_part_50.mp3,و هو كان يدي من كل إناء شوية و يتوضى باه يعدل بيناتهم و يفرحهم كامل و يجبر بخاطرهم
data/manel_part07_manel_part_51.mp3,غامر بروحو و استحمل البرد غير على جال باه يشوف الابتسامه في وجهم هاذ القصة حكاها انس بن مالك خادم رسول الله
data/baraa_part04_01.mp3,راني حاصلة في مشكل كبير ماعلاباليش واش ندير كاينين بزاف صالح بصح معنديش لحلول يليهم راهم يصراو غير هكا ماعلاباليش قاع كيفاش حتى صراو و مارانيش حاسة بلي راني نتحكم في الصوالح لي راهم يصراو راه كاين خلل في بلاصة مارانيش فاهمة بصح ضوك نشوف كيفاش ندير
data/baraa_part04_02.mp3,ليوم مقريتش صباح قريت غير حصة وحدة لعشية قريت في زوج لحصص عند بروف وحدة ماتبعتش مليح بصح شفت واش كانت دير سما عرفت les titres لي درناهم فلكور بصح عند لبروف deuxième كنت نتبع malgré كان فايتني فلكور بصح normal قريت عندو les chapitres لي كانو ناقصيني
data/baraa_part04_03.mp3,اذا عندكم كاش حاجة تحكيوها ولا تقولوها ارسلوهالي في vocal و اكتبولي الكتبة لي قلتوها فهذاك ل التسجيل الصوتي و قولولي وش رايكم في هاذ الحصة الغريبة جدا ماعلاباليش  وش راني نهدر بصح لازملي نسجل مقاطع صوتية وخلاص
data/baraa_part04_04.mp3,سما انا ضوكا نقعد نهدر هكا فلفراغ فلفراغ ايا ومبعد نشوفمعلباليش انايا كيفاش هاذي نقعد نهدر زوج سوايع bizarre تت ماعنديش الهدرة لي نقعد نهدرها  زوج سوايع يعني حتى لوكان تكون عندي هدرة مانقدرش نهدرها قاع بالعربية par ce que déjà مانعرفش نهدرها مفهمتش انايا تت ضوك نشوفو كيفاه
data/baraa_part04_05.mp3,قلك القيد رقد حم باباك هاذ النكتة تعاودت وتعاودت وتعاودت حتى ولاو يستعملوها في كلش حتى شفت وحد النكات على قالك القرلو رقد كي كلا صطوب وشفت صوالح هكا نكت غريبة فالفايسبوك وفل فمواقع التواصل الاجتماعي و هكا و هذا مكان هذا مكان
data/baraa_part04_06.mp3,شتو القاطو تاع الحانوت هاذاك تاع ماكسون يعجبني لي فيه القو تاع الشيكولا وللي يكون كبير مليحة تشربو مع القهوة  ولا تاكلو مع الشيكولا الشيكولا تعجبني تاع زبيب بالبندق ولا بتاع المكسرات بسك نحب المكسرات بزاف ذبان يديرونجي فهاذ الاقامة  والناموس يقرص بزاف كاين بزاف ناموس
data/baraa_part04_07.mp3,انا نطل على الجيهة تاع التراب هاذاك لي فيه بيزار هكا جاي تراب وحشيش وقاع  سما الحشرات قاع يدخلو عندي ل لغرفة تاعي ايا علابيها لازملي نغلق البالكون  بصح السخانة دير فشمبرة لوكان نغلق البالكون سما نخليه محلول خطرات ونغلقو خطرة على خطرة وهي رايحة خطرات الحشرات يدخلو نقعد نحاوز فالذبان والناموس و خطرات ميدخلوش
data/baraa_part02_part00.mp3,سلام هذا البارت راح يكون تعريف لشخصيات تاعنا لأبطال نبداو البطلة تاعنا زلة شابة احم وسمها ليان في عمرها 21سنة تقرا علم النفس عامها ثاني و هيا جاية بزاف كلاس وتحب الماكلة ورقاد ولبسة وتحواس هيا مكانتش عايشة فاجزائر جات علاجل الخدمة تع يماها عايشة هيا و يماها باباها مات اكسيدون هذي هيا البطلة تاعنا ليان
data/baraa_part02_part01.mp3,نجو للبطل تاعنا ولي هوا غيلاس من اصول فرنسية و باباه جزائري عايش في فرنسا هو و يماه و باباه في عمرو 29سنة زلوش بقلاوة عندو دكتورة في إختصاص إدارة اعمال وهو حاب يفتح شريكة خاصة بيها محابش يخدم مع باباه  شريكة شريكة سيارة وهذا هو البطل تاعنا غيلاس
data/baraa_part02_part03.mp3,ساعة 9:30تع صباح عند البطلة تاعنا لي كنت في سبات عميق رتيبة ام ليان رتيبة نوضي ليان راكي خمرتي نوضي بيان مزال لحال واش من خمرت خليني نرقد يما رتيبة ياطفلة تقراي ليوم نوضي ولا بلبليغة لضهر نوضي
data/baraa_part02_part04.mp3,ليان:صاي راني نوضت ندوش ونجي خرجت رتيبة...ليان واش لعجوزة كاش ما نشربو رتيبة يعاجز يامك نشاءالله انا كون نسڨم روحي نبان صغيرة عليك اشربي قهوتك وبعدي عليا وجهك
data/baraa_part02_part05.mp3,ليان اوكي مامي بلازعاف شربت ليان كاس جو وناضت نوضت طونوبيلتها (من نوع پورش غوز ) وطارت لفاك ببورش تع ليان
data/baraa_part02_part07.mp3,تلقات مع صحبتها لينا لينا واش مامي رانا شابين ليوم تصيدي كاش زلوش ليوما بيان نوضي نوضي نروحو ضوك يبدا تيدي وتحاوزنا هذيك المشرارة راحو ليان ولينا يقراو وكاملو على 12:30
data/baraa_part02_part08.mp3,لينا يايمااااا قريب نموت واش هذاااا شحال تهدر ياجدك ليان:وي والله تقول بلعت كاصيطة ههههههه امشي نفطرو جعت انا لينا:والله مام انا امشي راحو يفطرووو وكلو هكاااا وطلعتها ليان فأنستا فانستغرام
data/baraa_part02_part09.mp3,وين غيلاس نروحو لفرنساااا  ناض صباح على 6:30دار سبور لبس هكا كمل راح دوش لبس كوستيم هكا و هبط يشرب قهوة تلاقى مع باباه قعد معاه
data/baraa_part02_part10.mp3,باباه سي محمد محمد:غيلاس وقتاش معول ترجع لجزائر راك عرف بلي يماك راهي وحدها غيلاس:نشاءالله غدوا نقلع توحشتها بزاف محمد:الله يحفضك ياوليدي انا كي نكمل امور شري شريكة نلحقك
data/baraa_part02_part11.mp3,غيلاس:ايا نخليك بابا عشية نشاءالله خرج غيلاس وراح للمقر تاعو
data/baraa_part01_part01.mp3,سمانة لي فاتت وليت للدار و عجزت نعاود نولي نروح نقرا شاركنا فواحد الهاكاثون انا و وحدين يقراو معايا صحاباتي خدمنا مليح درنا application كانت الفكرة تاعها مليحة même jurés عجبتهم بصح la technologie لي خدمنا بيها ماكانتش performante forte حتى لثماك ايا سما teams وحدوخرين هوما لي ربحو en fait même انايا عجبتني le technologie لي داروها و صوالح لي خدموهم هادوك teams لوخرين
data/baraa_part01_part02.mp3,ايه سما مل موراها قعدت فدار هاذ سمانة كاملة روحت ل dentiste و حبيت نزيد نقعد فالدار و راني عجزانة نعاود نولي نقرى راهي راني حاسة بلي نولي نقرى ماشي option فهاذ ال فهاذ السمانة بصح لازملي لازملي نعاود نولي
data/baraa_part01_part03.mp3,ماباقيش بزاف باقي شهر سما نولي للإقامة و نقرا و نزير روحي و لي يجيبها ربي هاذيك هيا حنا l'essentiel نديرو القدر تاع الطاقة لي نقدرو عليها و les efforts لي لازم نديروهم باش
data/baraa_part01_part04.mp3,واقيلا نهدر بزاف بصح انا تاع صح مانهدرش بزاف نهدر بزاف كي يكونو عندي واش نهدر ولا كي يكون عندي حاجة نقولها مانحبش نخلي صوالح في مخي يدورو سما يحسبوني ناس بلي نهدر بزاف و واقيلا نهدر بلخف بصح انا مانهدرش بلخف parce que ياسمين تهدر بلخف كثر مني و هذي هيا قاع واش كنت حابة نقول ايا bon courage
data/baraa_part01_part05.mp3,اية يسرى حبيت نقولكم ماعلاباليش اذا راكم شافين بصح نهار لي كنت ف ليجيامو تلاقيت مع مهدي ايا و كنا رحنا ل restau مباعدا عاودو خرجونا منو مبعدا قعدو يدورو بينا par ce que ماكانش علابالهم اذا لفطور وجد ولا مزال ايا قعدو يرسلونا و يعاودو يردونا  و يعاودو يردونا ايا مبعدا بغينا نلعبو شطرنج ف la salle ايا حتى مبعدا ماخلاوش مهدي يدخل ايا سما قعدنا برا
data/baraa_part01_part06.mp3,ياخو ضوكا قسمنا الخدمة تاع هاذ ل module على كل واحد عندو خدمتو ايا و انا راني عجزانة باش نقعد نكتب في ل الكتبة المرافقة لكل مقطع صوتي و منا و منا سما راني قاعدة ن recordi و نرسل لصحاباتي في records ماعندهومش معنى و نعاود نكتب لكتبة تاعهم مانيش حافظة ل clavier بالعربية سما راني نسوفري
data/baraa_part01_part07.mp3,كي راني نسجلفي الصوت تاعي راني نسيي باش مانستعملش كلمات بالإنجليزية ولا بالفرنسية راني نسيي ل maximum نستعمل كلمات تاع الدارجة حتى العربية الفصحى و راني نسيي مانستعملهاش لازملي نستعمل بزاف كلمات تاع الدارجة باش ل model يتعرف على الدارجة  و يولي يعرفها كثر هاذي هيا اللغة الدارجة لازم يعرفها ل model
data/baraa_part01_part08.mp3,كنت نحوس على ماكلة فلفريجيدار صبت البيطراف و الماقارون انا موالفة ناكل بزاف مع صبحة ربي ايا سما ااا راني ناكل في البطراف بصح راه حار واقيلا ماما خلطاتو مع زيتون الحار لبارح ايا مبعدا كيشغول كي نحاتو قعد شوية منو م ل goût تاع الحار فل porte manger بصح راه جاي بنين واقيلا ثاني راهي دايرتلو الثوم بنين بنين
data/baraa_part01_part09.mp3,لوكان ماناكلش مليح مع صبحة ربي راني رايحة الmood تاعي يخسر نهار كامل généralement تصرا بزاف هاذي ف الإقامة l'essentiel oversharit شوية ايه ثاني دارتلي واحد l'allergie مل لفراش هاذاك لي كان فلاقامة ايا و حكمني هاكا دارلي بزاف حب احمر رقيق ايا هاكا سما لازملي نروح عند dermatologue اني رايحة شوية هاكا نروح
data/baraa_part01_part10.mp3,شيرات توحشت لعراس قاع  la famille تاعنا واقيلا كملو تزوجو جات تورتنا فالدار vrai توحشت لعراس ني باغية نعرس هاد الصيف لازم ماكانش وحدة فيكم باغية تزوج ولا تزوجو زواج مليح راني قاعدة و قاعدة نهدر في باطل معلاباليش انايا شاراني ندير والله معلابالي شاراني ندير en tout cas تزوجو و عرضوني نعرس ماتخافوش
data/baraa_part01_part11.mp3,ماما عيطتلي تسقسي فيا شادرت اليوم وانا راني نايضة retard par ce que لبارح رقدت على الربعة لا حشمة لا حيا الرقاد تاعي راني خابطاته في حيط راني vrai خابطة الرقاد تاعي في حيط و انا مانعرفش نهدر بالعربية والله لا راني نسيي maximum راني نسيي كلمات راهم يتلفولي ومانيش نعرف نهدر سما راني نقول n'importe quoi
data/baraa_part01_part12.mp3,واحد زوج ثلاثة ربعة خمسة ستة سبعة ثمنية تسعة عشرة حداش ثناش ثلاطاش ربعطاش خمسطاش سبعطاش ثمنطاش تسعطاش عشرين واحدوعشرين ثنين و عشرين ثلاثة و عشرين ربعة و عشرين
data/baraa_part03_01.mp3,حبيت نكتب هاذ الكرونيك لي جاتي فبالي رح تكون باللهجة الجزائرية مع العمل هاذا  اول عمل ليا راح تحكي على طفلة شابة لي هي نهال هاذ الاسم نحبو معلباليش علاه في بارت رح تعرفو حكايتها و البطل تاعنا هو ايهاب رجل اعمال كبير و ناجح
data/baraa_part03_02.mp3,نهال طفلة في عمرها 20 سنة جاية بيضة و عينيها زروقة و شعرها كحل كي سواد الليل عندها واحد لطاي تقتل عايشة مع مانها و خالتها و زوج خياتها صغار عليها و بنت خالتها و وليد خالتها
data/baraa_part03_03.mp3,مان نهال لي هي خداوج جاية حنينة بزاف عمرها 68 سنة تحب نهال بزااف و هي لي رباتها و ربات خياتها بعد ما ماتو والديها
data/baraa_part03_04.mp3,هيبة : خت نهال في عمرها 17 سنة جاية بيضة كي نهال و تشبهلها في كلش غير في عينيها لي هوما كحولة و قلبها بيض و هاذ العام عندها الباك
data/baraa_part03_05.mp3,رى خت نهال الصغيرة في عمرها 15 سنة كيف كيف تشبه لنهال في كلش مام عينيها تقرى اولى ثانوي
data/baraa_part03_06.mp3,وهيبة : لي هي خالة نهال في عمرها 45 سنة عايشة معاهم في دار يماها بيسك هي مطلقة مع راجلها و عندها طفلة و طفل عايشين معاها
data/baraa_part03_07.mp3,لي هوما شهرة  بنت خالة نهال قدها فالعمر متف و متفاهمين كي الخيات كل حاجة يحكوها لبعضاهم و جاية خيرية شعرها شتان و عينيها نوازات امير  خو شهرة
